taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
556,Dickeya_chrysanthemi,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pectobacteriaceae,g__Dickeya,s__Dickeya_chrysanthemi
95486,Burkholderia_cenocepacia,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__Burkholderia_cenocepacia
1337393,Helicobacter_pylori_PZ5056,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__Helicobacter_pylori
272620,Klebsiella_pneumoniae_subsp_pneumoniae_MGH_78578,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella_pneumoniae
562,Escherichia_coli,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_coli
630,Yersinia_enterocolitica,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Yersinia,s__Yersinia_enterocolitica
944,Ehrlichia_canis,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Ehrlichia,s__Ehrlichia_canis
543,Enterobacteriaceae,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,,
784,Orientia_tsutsugamushi,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__Orientia,s__Orientia_tsutsugamushi
392021,Rickettsia_rickettsii_str_Sheila_Smith,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__Rickettsia,s__Rickettsia_rickettsii
400667,Acinetobacter_baumannii_ATCC_17978,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_baumannii
770,Anaplasma_marginale,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Anaplasma,s__Anaplasma_marginale
866344,Helicobacter_pylori_F16,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__Helicobacter_pylori
727,Haemophilus_influenzae,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_influenzae
1352357,Helicobacter_pylori_SouthAfrica50,d__Bacteria,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__Helicobacter_pylori
