taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
11590,Toscana_virus,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Ellioviricetes,o__Bunyavirales,f__Phenuiviridae,g__Phlebovirus,s__Toscana_phlebovirus
12216,Potato_virus_Y,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Stelpaviricetes,o__Patatavirales,f__Potyviridae,g__Potyvirus,s__Potato_virus_Y
11269,Marburg_marburgvirus,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Monjiviricetes,o__Mononegavirales,f__Filoviridae,g__Marburgvirus,s__Marburg_marburgvirus
694007,Tylonycteris_bat_coronavirus_HKU4,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Nidovirales,f__Coronaviridae,g__Betacoronavirus,s__Tylonycteris_bat_coronavirus_HKU4
11039,Western_equine_encephalitis_virus,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Alsuviricetes,o__Martellivirales,f__Togaviridae,g__Alphavirus,s__Western_equine_encephalitis_virus
10923,Simian_rotavirus_A_SA11,d__Viruses,k__Orthornavirae,p__Duplornaviricota,c__Resentoviricetes,o__Reovirales,f__Reoviridae,g__Rotavirus,s__Rotavirus_A
408686,Dengue_virus_4_Philippines_H241_1956,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Flavivirus,s__Dengue_virus
11033,Semliki_Forest_virus,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Alsuviricetes,o__Martellivirales,f__Togaviridae,g__Alphavirus,s__Semliki_Forest_virus
382835,Influenza_A_virus_A_WSN_1933_H1N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
11256,Human_respiratory_syncytial_virus_strain_RSB6256,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Monjiviricetes,o__Mononegavirales,f__Pneumoviridae,g__Orthopneumovirus,s__Human_orthopneumovirus
12092,Hepatovirus_A,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Hepatovirus,s__Hepatovirus_A
680690,Influenza_A_virus_A_Hong_Kong_1074_1999_H9N2,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
11235,Measles_virus_strain_Edmonston,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Monjiviricetes,o__Mononegavirales,f__Paramyxoviridae,g__Morbillivirus,s__Measles_morbillivirus
63746,Hepatitis_C_virus_isolate_H77,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Hepacivirus,s__Hepacivirus_C
130763,Influenza_A_virus_A_Hong_Kong_156_97_H5N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
63106,Influenza_A_virus_A_Wuhan_359_1995_H3N2,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
284218,Influenza_A_virus_A_Viet_Nam_1203_2004_H5N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
11120,Infectious_bronchitis_virus,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Nidovirales,f__Coronaviridae,g__Gammacoronavirus,s__Avian_coronavirus
322053,Konjac_mosaic_virus,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Stelpaviricetes,o__Patatavirales,f__Potyviridae,g__Potyvirus,s__Konjac_mosaic_virus
644289,Influenza_A_virus_A_Korea_01_2009_H1N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
223997,Murine_norovirus_1,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Caliciviridae,g__Norovirus,s__Norwalk_virus
121791,Nipah_henipavirus,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Monjiviricetes,o__Mononegavirales,f__Paramyxoviridae,g__Henipavirus,s__Nipah_henipavirus
421472,Influenza_A_virus_A_Indonesia_CDC1032N_2007_H5N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
11099,Bovine_viral_diarrhea_virus_1,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Pestivirus,s__Pestivirus_A
479022,Influenza_A_virus_A_chicken_Korea_IS_2006_H5N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
694008,Pipistrellus_bat_coronavirus_HKU5,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Nidovirales,f__Coronaviridae,g__Betacoronavirus,s__Pipistrellus_bat_coronavirus_HKU5
387139,Influenza_A_virus_A_Aichi_2_1968_H3N2,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
138951,Enterovirus_D,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Picornaviridae,g__Enterovirus,s__Enterovirus_D
37207,Rio_Segundo_hantavirus,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Ellioviricetes,o__Bunyavirales,f__Hantaviridae,g__Orthohantavirus,s__Rio_Segundo_hantavirus
117204,African_horse_sickness_virus_3,d__Viruses,k__Orthornavirae,p__Duplornaviricota,c__Resentoviricetes,o__Reovirales,f__Reoviridae,g__Orbivirus,s__African_horse_sickness_virus
28344,Porcine_reproductive_and_respiratory_syndrome_virus,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Nidovirales,f__Arteriviridae,g__Porcine_reproductive_and_respiratory_syndrome_virus__S+,s__Porcine_reproductive_and_respiratory_syndrome_virus
11234,Measles_morbillivirus,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Monjiviricetes,o__Mononegavirales,f__Paramyxoviridae,g__Morbillivirus,s__Measles_morbillivirus
11103,Hepacivirus_C,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Hepacivirus,s__Hepacivirus_C
1349999,Goose_astrovirus,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Stelpaviricetes,o__Stellavirales,f__Astroviridae,g__Avastrovirus,s__Goose_astrovirus
356418,Hepatitis_C_virus_ED43,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Hepacivirus,s__Hepacivirus_C
172149,Influenza_A_virus_A_swine_Quebec_192_81_H1N1,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Insthoviricetes,o__Articulavirales,f__Orthomyxoviridae,g__Alphainfluenzavirus,s__Influenza_A_virus
11602,Hantaan_virus_76_118,d__Viruses,k__Orthornavirae,p__Negarnaviricota,c__Ellioviricetes,o__Bunyavirales,f__Hantaviridae,g__Orthohantavirus,s__Hantaan_orthohantavirus
122929,Norovirus_GII,d__Viruses,k__Orthornavirae,p__Pisuviricota,c__Pisoniviricetes,o__Picornavirales,f__Caliciviridae,g__Norovirus,s__Norwalk_virus
11077,Kunjin_virus,d__Viruses,k__Orthornavirae,p__Kitrinoviricota,c__Flasuviricetes,o__Amarillovirales,f__Flaviviridae,g__Flavivirus,s__West_Nile_virus
