taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
1270,Micrococcus_luteus,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Micrococcaceae,g__Micrococcus,s__Micrococcus_luteus
1317,Streptococcus_downei,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_downei
1502,Clostridium_perfringens,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridium,s__Clostridium_perfringens
553583,Staphylococcus_aureus_A9635,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
410072,Coprococcus_comes,d__Bacteria,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus_comes
29339,Bacillus_thuringiensis_serovar_kurstaki,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_thuringiensis
243273,Mycoplasma_genitalium_G37,d__Bacteria,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,s__Mycoplasma_genitalium
722438,Mycoplasma_pneumoniae_FH,d__Bacteria,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,s__Mycoplasma_pneumoniae
1783,Mycobacterium_scrofulaceum,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium_scrofulaceum
208435,Streptococcus_agalactiae_2603V_R,d__Bacteria,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_agalactiae
67351,Streptomyces_californicus,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces_californicus
1717,Corynebacterium_diphtheriae,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_diphtheriae
1764,Mycobacterium_avium,d__Bacteria,k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium_avium
